election_year,election_date,country,election_type,post_id,post_type,post_date,modified,days_from_election,title,url,categories,source,match_score,match_reasons
2023,25/02/2023,Nigeria,Presidential,14012,post,16/03/2023,16/03/2023,19,sierra leone election: how abuse and incendiary language could spark tensions,https://dubawa.org/sierra-leone-election-how-abuse-and-incendiary-language-could-spark-tensions/,5|1268,window,2,body:apc; election:election|poll|candidate
2023,25/02/2023,Nigeria,Presidential,14003,post,15/03/2023,15/03/2023,18,"live-check: delta state governorship candidates debate   wednesday, march 15, 2023",https://dubawa.org/live-check-delta-state-governorship-candidates-debate-wednesday-march-15-2023/,5|3797,window,2,body:nigeria; election:candidate
2023,25/02/2023,Nigeria,Presidential,13974,post,14/03/2023,14/03/2023,17,how true is twitter users’ claim fasting cures cancer?,https://dubawa.org/how-true-is-twitter-users-claim-fasting-cures-cancer/,1571|121,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13971,post,14/03/2023,14/03/2023,17,true! women representation in sanwo-olu’s cabinet over 30%,https://dubawa.org/true-women-representation-in-sanwo-olus-cabinet-over-30/,5|1571,window,1,election:election|candidate
2023,25/02/2023,Nigeria,Presidential,13963,post,12/03/2023,12/03/2023,15,"scam! beware of fake bbc, nta facebook pages soliciting funds for ailing man",https://dubawa.org/scam-beware-of-fake-bbc-nta-facebook-pages-soliciting-funds-for-ailing-man/,437|1571|123,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13960,post,12/03/2023,12/03/2023,15,liberia and biometric voters registration ahead of october’s elections,https://dubawa.org/liberia-and-biometric-voters-registration-ahead-of-octobers-elections/,5|1572|1960|1574,window,1,election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,13954,post,10/03/2023,10/03/2023,13,four ways to detect fake naira note,https://dubawa.org/four-ways-to-detect-fake-naira-note/,1572|1574,window,2,body:nigeria; election:election
2023,25/02/2023,Nigeria,Presidential,13931,post,07/03/2023,07/03/2023,10,barrow’s partisan commission of inquiry and matters arising,https://dubawa.org/barrows-partisan-commission-of-inquiry-and-matters-arising/,5|1572|2815,window,1,election:election|poll|candidate
2023,25/02/2023,Nigeria,Presidential,13910,post,06/03/2023,06/03/2023,9,"false! divorce cases filed in fct in january 2023, not 4,000 as claimed in viral tweet",https://dubawa.org/false-divorce-cases-filed-in-fct-in-january-2023-not-4000-as-claimed-in-viral-tweet/,1571|123,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13906,post,06/03/2023,06/03/2023,9,sierra leone 2023 election: tracking the differences between voter and national identity cards,https://dubawa.org/sierra-leone-2023-election-tracking-the-differences-between-voter-and-national-identity-cards/,1572|123|1574|1268,window,1,election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,13893,post,03/03/2023,03/03/2023,6,"no, masturbation does not lead to baldness in men",https://dubawa.org/no-masturbation-does-not-lead-to-baldness-in-men/,1571|123,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13881,post,02/03/2023,02/03/2023,5,false! biden has not called for the cancelling of presidential election,https://dubawa.org/false-biden-has-not-called-for-the-cancelling-of-the-presidential-election/,5|1571,window,2,body:nigeria; election:election|presidential
2023,25/02/2023,Nigeria,Presidential,13868,post,01/03/2023,01/03/2023,4,liberia’s dual citizenship debacle: the voice of the people or the wants of elites?,https://dubawa.org/liberias-dual-citizenship-debacle-the-voice-of-the-people-or-the-wants-of-elites/,120|1572|1960|1574,window,1,election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,13858,post,01/03/2023,01/03/2023,4,"joseph nyumah boakai deciding to support alexander cummings after retirement, false!",https://dubawa.org/joseph-nyumah-boakai-deciding-to-support-alexander-cummings-after-retirement-false/,437|1571|1960|16,window,1,election:ballot|presidential
2023,25/02/2023,Nigeria,Presidential,13855,post,28/02/2023,03/04/2023,3,false! no fatality recorded from bo stadium incident,https://dubawa.org/false-no-fatality-recorded-from-bo-stadium-incident/,123|1268,window,1,election:election
2023,25/02/2023,Nigeria,Presidential,13846,post,28/02/2023,28/02/2023,3,president muhammadu buhari did not approve president obasanjo’s request for election cancellation,https://dubawa.org/president-muhammadu-buhari-did-not-approve-president-obasanjos-request-for-election-cancellation/,5|437|3797,window,1,election:election
2023,25/02/2023,Nigeria,Presidential,13814,post,28/02/2023,28/02/2023,3,elon musk not building hotel in nigeria,https://dubawa.org/elon-musk-not-building-hotel-in-nigeria/,120|1571,window,2,title:nigeria
2023,25/02/2023,Nigeria,Presidential,13766,post,27/02/2023,27/02/2023,2,"false! mc oluomo not dead, as reported",https://dubawa.org/false-mc-oluomo-not-dead-as-reported/,5|1571|3797,window,1,body:pdp
2023,25/02/2023,Nigeria,Presidential,13734,post,26/02/2023,26/02/2023,1,"true! election did not take place in awo-omamma, but result was uploaded",https://dubawa.org/true-election-did-not-take-place-in-awo-omamma-but-result-was-uploaded/,5|1571|3797,window,1,election:election
2023,25/02/2023,Nigeria,Presidential,13716,post,26/02/2023,26/02/2023,1,false! pat utomi not held hostage,https://dubawa.org/false-pat-utomi-not-held-hostage/,5|1571|3797,window,1,body:labour party
2023,25/02/2023,Nigeria,Presidential,13699,post,26/02/2023,26/02/2023,1,misleading! results per state yet to be collated,https://dubawa.org/misleading-results-per-state-yet-to-be-collated/,5|1571|3797,window,2,body:apc; body:pdp
2023,25/02/2023,Nigeria,Presidential,13661,post,25/02/2023,25/02/2023,0,true! kogi state appointee arrested by soldiers in kogi central,https://dubawa.org/true-kogi-state-appointee-arrested-by-soldiers-in-kogi-central/,5|437,window,1,body:apc
2023,25/02/2023,Nigeria,Presidential,13657,post,25/02/2023,25/02/2023,0,true! voting yet to commence in parts of bayelsa at 4 pm,https://dubawa.org/true-voting-yet-to-commence-in-parts-of-bayelsa-at-4-pm/,5|1571,window,2,body:inec; election:vote|voter|ballot
2023,25/02/2023,Nigeria,Presidential,13654,post,25/02/2023,26/02/2023,0,"true! lp karshi district chairman valentine onuigbo, dead",https://dubawa.org/true-lp-karshi-district-chairman-valentine-onuigbo-dead/,5|1571,window,1,body:labour party
2023,25/02/2023,Nigeria,Presidential,13650,post,25/02/2023,25/02/2023,0,"false! boko haram did not take over inec’s offices in kaduna, kano",https://dubawa.org/boko-haram-did-not-take-over-inecs-offices-in-kaduna-kano/,5|437|1571,window,2,title:inec
2023,25/02/2023,Nigeria,Presidential,13648,post,25/02/2023,25/02/2023,0,false; katsina state police command did not arrest party agents for inec’s server hack,https://dubawa.org/false-katsina-state-police-command-did-not-arrest-party-agents-for-inecs-server-hack/,5|437|1571,window,2,title:inec
2023,25/02/2023,Nigeria,Presidential,13628,post,25/02/2023,25/02/2023,0,"contrary to claims, voting currently ongoing in igweocha, rivers state",https://dubawa.org/contrary-to-claims-voting-currently-ongoing-in-igweocha-rivers-state/,5|1571,window,1,election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,13625,post,25/02/2023,25/02/2023,0,false; president buhari’s vote not void,https://dubawa.org/false-president-buharis-vote-not-void/,5|1571,window,2,body:apc; election:vote|ballot
2023,25/02/2023,Nigeria,Presidential,13565,post,24/02/2023,24/02/2023,-1,house of representatives member ado garba makes false claims about election campaign funds,https://dubawa.org/house-of-representatives-member-ado-garba-makes-false-claims-about-election-campaign-funds/,5|1571|16,window,2,body:inec; election:election|poll|candidate
2023,25/02/2023,Nigeria,Presidential,13540,post,24/02/2023,24/02/2023,-1,#zaben 2023: duk abubuwan da ya kamata ku sani dangane da saye da sayar da kuri’u a zaben najeriya,https://dubawa.org/zaben-2023-duk-abubuwan-da-ya-kamata-ku-sani-dangane-da-saye-da-sayar-da-kuriu-a-zaben-najeriya/,3137|2451,window,1,body:inec
2023,25/02/2023,Nigeria,Presidential,13529,post,24/02/2023,24/02/2023,-1,ìdìbò 2023: ǹjẹ́ lóòótọ́ ni pé àjọ inec kì yóò kà àwọn ìbò wọ̀nyí?,https://dubawa.org/idibo-2023-%c7%b9je-loooto-ni-pe-ajo-inec-ki-yoo-ka-awon-ibo-wonyi/,5|1571|2450,window,2,title:inec
2023,25/02/2023,Nigeria,Presidential,13510,post,24/02/2023,24/02/2023,-1,false! voter information printouts can not be used to vote on election day,https://dubawa.org/false-voter-information-printouts-can-not-be-used-to-vote-on-election-day/,5|1571,window,2,body:inec; election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,13501,post,23/02/2023,23/02/2023,-2,#zaben 2023: muhimman sauye-sauye a dokar zaben najeriya,https://dubawa.org/zaben-2023-muhimman-sauye-sauye-a-dokar-zaben-najeriya/,3137|2451,window,1,body:inec
2023,25/02/2023,Nigeria,Presidential,13474,post,23/02/2023,23/02/2023,-2,explainer: things you should know about ballot boxes and ballot tokens in the gambia,https://dubawa.org/explainer-things-you-should-know-about-ballot-boxes-and-ballot-tokens-in-the-gambia/,5|1574|2815,window,1,election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,13471,post,23/02/2023,23/02/2023,-2,explainer: renewed commitment to ending female genital mutilation in the gambia,https://dubawa.org/explainer-renewed-commitment-to-ending-female-genital-mutilation-in-the-gambia/,1572|1574|2815,window,1,election:parliament
2023,25/02/2023,Nigeria,Presidential,13464,post,23/02/2023,23/02/2023,-2,"is it illegal for individuals to carry pepper spray, as police spokesperson claims?",https://dubawa.org/is-it-illegal-for-individuals-to-carry-pepper-spray-as-police-spokesperson-claims/,1572|1574|119,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13451,post,22/02/2023,22/02/2023,-3,a twitter influencer alleged that some european protesters recently  harassed  godwin obaseki.,https://dubawa.org/a-twitter-influencer-alleged-that-some-european-protesters-recently-harassed-godwin-obaseki/,1571|3705,window,2,body:nigeria; election:election|candidate|presidential
2023,25/02/2023,Nigeria,Presidential,13435,post,22/02/2023,22/02/2023,-3,"cbn debunks aisha buhari s post on use of old n500, n1000 notes",https://dubawa.org/cbn-debunks-aisha-buharis-post-on-use-of-old-n500-n1000-notes/,120|1688,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13417,post,21/02/2023,21/02/2023,-4,"analysis: with misleading headlines, us-based newspunch spreads half-truths about nigeria",https://dubawa.org/analysis-with-misleading-headlines-us-based-newspunch-spreads-half-truths-about-nigeria/,435|4|123|1574,window,2,title:nigeria
2023,25/02/2023,Nigeria,Presidential,13414,post,21/02/2023,21/02/2023,-4,is aphelion responsible for changes in nigeria’s weather conditions?,https://dubawa.org/is-aphelion-responsible-for-changes-in-nigerias-weather-conditions/,437|1571|123,window,2,title:nigeria
2023,25/02/2023,Nigeria,Presidential,13396,post,21/02/2023,21/02/2023,-4,how “void votes” could decide 2023 election in sierra leone,https://dubawa.org/how-void-votes-could-decide-2023-election-in-sierra-leone/,1572|4|1574|1268,window,1,election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,13378,post,20/02/2023,20/02/2023,-5,how to spot ‘fake news’ on tiktok and twitter in a viral era,https://dubawa.org/how-to-spot-fake-news-on-tiktok-and-twitter-in-a-viral-era/,4|123|1574,window,2,body:nigeria; election:election
2023,25/02/2023,Nigeria,Presidential,13375,post,20/02/2023,20/02/2023,-5,viral tiktok video claiming cbn’s benin branch on fire false,https://dubawa.org/viral-tiktok-video-claiming-cbns-benin-branch-on-fire-false/,1571|123,window,2,body:nigeria; body:peter obi
2023,25/02/2023,Nigeria,Presidential,13371,post,18/02/2023,18/02/2023,-7,"false! cbn did not order closure of opay, kuda, and palmpay",https://dubawa.org/false-cbn-did-not-order-closure-of-opay-kuda-and-palmpay/,120|1571,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13368,post,17/02/2023,17/02/2023,-8,"regulatory failure, a function that undermines public sector development: “liberia in focus”",https://dubawa.org/regulatory-failure-a-function-that-undermines-public-sector-development-liberia-in-focus/,120|1572|4|1960|1574,window,1,election:vote
2023,25/02/2023,Nigeria,Presidential,13339,post,16/02/2023,16/02/2023,-9,tura sako zuwa 8014 ba ya aiki; ga yadda za ku gano runfar zabenku ta intanet,https://dubawa.org/tura-sako-zuwa-8014-ba-ya-aiki-ga-yadda-za-ku-gano-runfar-zabenku-ta-intanet/,3137|2451,window,2,body:inec; election:poll
2023,25/02/2023,Nigeria,Presidential,13334,post,16/02/2023,16/02/2023,-9,"idan har ta aka zabe ta gwamna, aisha binani ba za ta kasance macen farko a mukamin ba domin an taba gwamna mace",https://dubawa.org/idan-har-ta-aka-zabe-ta-zama-gwamna-aisha-binani-ba-za-ta-kasance-macen-farko-a-mukamin-ba-domin-an-taba-gwamna-mace/,3137|2451,window,2,body:peter obi; body:apc
2023,25/02/2023,Nigeria,Presidential,13328,post,16/02/2023,16/02/2023,-9,gaskiya ne zulum na sayen pvc kamar yadda ake zargi a wani bidiyo?,https://dubawa.org/gaskiya-ne-zulum-na-sayen-pvc-kamar-yadda-ake-zargi-a-wani-bidiyo/,3137|2451,window,2,body:inec; body:apc
2023,25/02/2023,Nigeria,Presidential,13330,post,16/02/2023,16/02/2023,-9,explainer: did the gambia coalition 2016 implement only three out of 22 of barrow’s manifesto on democracy and rule of law?,https://dubawa.org/explainer-did-the-gambia-coalition-2016-implement-only-three-out-of-22-of-barrows-manifesto-on-democracy-and-rule-of-law/,1572|16|2815,window,1,election:election|candidate|presidential
2023,25/02/2023,Nigeria,Presidential,13323,post,16/02/2023,16/02/2023,-9,violating electoral laws with impunity: the case of politicians and pre-campaign in liberia,https://dubawa.org/violating-electoral-laws-with-impunity-the-case-of-politicians-and-pre-campaign-in-liberia/,5|1572|4|1960|1574,window,1,election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,13318,post,16/02/2023,16/02/2023,-9,explainer: the state of liberia’s 2022 national housing and population census,https://dubawa.org/explainer-the-state-of-liberias-2022-national-housing-and-population-census/,1572|4|1960|1574,window,1,election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,13311,post,15/02/2023,15/02/2023,-10,zaben 2023: shin akwai hotunan zanen yatsun da ba za’a iya amfani da su ba kamar yadda aka bayyana a wannan labarin?,https://dubawa.org/zaben-2023-shin-akwai-hotunan-zanen-yatsun-da-ba-zaa-iya-amfani-da-su-ba-kamar-yadda-aka-bayyana-a-wannan-labarin/,3137|2451,window,1,body:inec
2023,25/02/2023,Nigeria,Presidential,13295,post,15/02/2023,15/02/2023,-10,explainer – celebrating victory in the ‘war’ for 30% quota for women,https://dubawa.org/explainer-celebrating-victory-in-the-war-for-30-quota-for-women/,1268,window,1,election:election|parliament|presidential
2023,25/02/2023,Nigeria,Presidential,13275,post,15/02/2023,15/02/2023,-10,zaben 2023: duk abin da ya kamata ku sani kan watsa sakamakon zabe kai-tsaye,https://dubawa.org/zaben-2023-duk-abin-da-ya-kamata-ku-sani-kan-watsa-sakamakon-zabe-kai-tsaye/,3137|2451,window,2,body:inec; body:irev
2023,25/02/2023,Nigeria,Presidential,13270,post,15/02/2023,15/02/2023,-10,binciken zargin peter obi kan talauci da tsabta,https://dubawa.org/binciken-zargin-peter-obi-kan-talauci-da-tsabta/,3137|2451,window,2,title:peter obi
2023,25/02/2023,Nigeria,Presidential,13260,post,14/02/2023,14/02/2023,-11,yadda wadansu shafukan twitter da facebook suka wallafa hotunan bogi dan yi wa dan takarar shugabancin najeriya kamfe.,https://dubawa.org/yadda-wadansu-shafukan-twitter-da-facebook-suka-wallafa-hotunan-bogi-dan-yi-wa-dan-takarar-shugabancin-najeriya-kamfe/,3137|2451,window,2,body:peter obi; election:election|vote
2023,25/02/2023,Nigeria,Presidential,13256,post,14/02/2023,14/02/2023,-11,masu tantance gaskiyar bayanai a najeriya sun hada gwiwa da arise news a mahawarorin  yan takarar shugaban kasa.,https://dubawa.org/masu-tantance-gaskiyar-bayanai-a-najeriya-sun-hada-gwiwa-da-arise-news-a-mahawarorim-ke-yan-takarar-shugaban-kasa/,3137|2451,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13248,post,14/02/2023,14/02/2023,-11,dealing with fake press releases for the media in sierra leone,https://dubawa.org/dealing-with-fake-press-releases-for-the-media-in-sierra-leone/,5|4|1574|1576|1268,window,1,election:election|vote|poll
2023,25/02/2023,Nigeria,Presidential,13245,post,14/02/2023,16/02/2023,-11,"lady in viral video being flogged by men, not for marriage refusal, and incident not in nigeria",https://dubawa.org/lady-in-viral-video-being-flogged-by-men-not-for-marriage-refusal-and-shes-not-from-nigeria/,1571|123,window,2,title:nigeria
2023,25/02/2023,Nigeria,Presidential,13241,post,13/02/2023,13/02/2023,-12,explainer: common electoral offences you should know ahead of local government elections,https://dubawa.org/explainer-common-electoral-offences-you-should-know-ahead-of-local-government-elections/,5|1572|4|1574|2815,window,1,election:election|vote|voter
2023,25/02/2023,Nigeria,Presidential,13233,post,13/02/2023,13/02/2023,-12,"viral photo of lobi stars football club players at seminar, misleading",https://dubawa.org/viral-photo-of-lobi-stars-football-club-players-at-seminar-misleading/,1571|3705,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13217,post,13/02/2023,13/02/2023,-12,da gaske ne! najeriya ce ta fi nomar shinkafa a nahiyar afirka,https://dubawa.org/gaskiya-ne-najeriya-ce-ta-fi-nomar-shinkafa-a-nahiyar-afirka/,3137|2451,window,2,body:tinubu; body:apc
2023,25/02/2023,Nigeria,Presidential,13205,post,10/02/2023,10/02/2023,-15,it is false to suggest rice riot took place in 1980,https://dubawa.org/it-is-false-to-suggest-rice-riot-took-place-in-1980/,120|437|1571|1960,window,1,election:parliament|presidential|legislative
2023,25/02/2023,Nigeria,Presidential,13174,post,08/02/2023,08/02/2023,-17,"wani mawaki dan najeriyar da ya rasu shekaru 12 da su ka gabata, an ga sunarsa a jerin sunayen wadanda ‘yan sandan saliyo ke nema",https://dubawa.org/wani-mawaki-dan-najeriyar-da-ya-rasu-shekaru-12-da-su-ka-gabata-an-ga-sunarsa-a-jerin-sunayen-wadanda-yan-sandan-saliyo-ke-nema/,3137|2451,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13171,post,08/02/2023,13/02/2023,-17,false! tems not nigerian first female artiste to win grammy,https://dubawa.org/false-tems-not-nigerian-first-female-artiste-to-win-grammy/,1571|123,window,2,title:nigeria
2023,25/02/2023,Nigeria,Presidential,13164,post,07/02/2023,21/02/2023,-18,"picture of nollywood actor, osita iheme, doctored to imply support for ipob",https://dubawa.org/picture-of-nollywood-actor-osita-iheme-doctored-to-imply-support-for-ipob/,5|1571|123,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13161,post,07/02/2023,07/02/2023,-18,the economics of rice politics in liberia and weah’s role in it,https://dubawa.org/the-economics-of-rice-politics-in-liberia-and-weahs-role-in-it/,120|1572|4|1960,window,1,election:election|presidential
2023,25/02/2023,Nigeria,Presidential,13158,post,06/02/2023,06/02/2023,-19,"if you lose your covid-19 vaccination card, here’s how to get a replacement",https://dubawa.org/if-you-lose-your-covid-19-vaccination-card-heres-how-to-get-a-replacement/,4|121|1574,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13153,post,06/02/2023,06/02/2023,-19,"cholera: symptoms, causes, prevention, and treatment as cases rise in cross river",https://dubawa.org/cholera-symptoms-causes-prevention-and-treatment-as-cases-rise-in-cross-river/,4|121|1574,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13139,post,06/02/2023,21/02/2023,-19,video of shootout between police and armed men from movie set,https://dubawa.org/video-of-shootout-between-police-and-armed-men-from-movie-set/,437|1571|123,window,2,body:nigeria; election:election
2023,25/02/2023,Nigeria,Presidential,13113,post,05/02/2023,05/02/2023,-20,"ìdìbò ọdún 2023: ko ṣeeṣe kí o fi onka nomba marun-un to gbeyin nọmba vin, dìbò",https://dubawa.org/idibo-odun-2023-ko-%e1%b9%a3ee%e1%b9%a3e-ki-o-fi-onka-nomba-marun-un-to-gbeyin-nomba-vin-dibo/,3137|1571|2450,window,2,body:inec; election:vote|voter
2023,25/02/2023,Nigeria,Presidential,13102,post,04/02/2023,04/02/2023,-21,facebook ya sauke labarin zuwan steve harvey najeriya bayan binciken dubawa,https://dubawa.org/facebook-ya-sauke-labarin-da-ke-zargin-wai-steve-harvey-na-najeriya-bayan-binciken-dubawa/,3137|2451,window,1,body:peter obi
2023,25/02/2023,Nigeria,Presidential,13067,post,04/02/2023,04/02/2023,-21,babu hujjar cewa peter obi ne mahaifin yaron da aka gani tsaye kan tutar najeriya cikin wani hoton da ake ta yadawa,https://dubawa.org/babu-hujjar-cewa-peter-obi-ne-mahaifin-yaron-da-aka-gani-tsaye-kan-tutar-najeriya-cikin-wani-hoto-da-ake-ta-yadawa/,3137|2451|123,window,2,title:peter obi
2023,25/02/2023,Nigeria,Presidential,13058,post,04/02/2023,04/02/2023,-21,tom hanks bai goyi bayan takarar peter obi kamar yadda wani mai amfani da shafin facebook ke zargi,https://dubawa.org/tom-hanks-bai-goyi-bayan-takarar-peter-obi-kamar-yadda-wani-mai-amfani-da-shafin-facebook-ke-zargi/,3137|2451,window,2,title:peter obi
2023,25/02/2023,Nigeria,Presidential,13050,post,03/02/2023,03/02/2023,-22,"jam’yyar apc ta kwafsa, ta rubuta wa gwamnonin kogi da kwara da ma wadansu ministoci mukaman da ba na su ba",https://dubawa.org/jamyyar-apc-ta-kwafsa-ta-rubuta-wa-gwamnonin-kogi-da-kwara-da-ma-wadansu-ministoci-mukaman-da-ba-na-su-ba/,3137|2451,window,2,title:apc
2023,25/02/2023,Nigeria,Presidential,13044,post,03/02/2023,03/02/2023,-22,batun wai kamfanin opay na bai wa ‘yan najeriya tashoshin pos kyauta ba gaskiya ba ne,https://dubawa.org/batun-wai-kamfanin-opay-na-bai-wa-yan-najeriya-tashoshin-pos-kyauta-ba-gaskiya-ba-ne/,3137|2451,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13035,post,03/02/2023,09/03/2023,-22,"diphtheria outbreak: all you need to know about disease, its causes, symptoms, and spread",https://dubawa.org/diphtheria-outbreak-all-you-need-to-know-about-disease-its-causes-symptoms-and-spread/,121|1574,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13033,post,03/02/2023,03/02/2023,-22,"bidiyon da ke zargin wai ‘yan arewa sun koyi amfani da na’urorin zabe, gabanin zabukan 2023 ba gaskiya ba ne",https://dubawa.org/bidiyon-da-ke-zargin-wai-yan-arewa-sun-koyi-amfani-da-naurorin-zabe-gabanin-zabukan-2023-ba-gaskiya-ba-ne/,3137|2451,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,13023,post,02/02/2023,02/02/2023,-23,suggesting weah reduced open defecation from 42% to 38% is misleading,https://dubawa.org/suggesting-weah-reduced-open-defecation-from-42-to-38-is-misleading/,3136|437|1571|121|1960,window,1,election:election|presidential|legislative
2023,25/02/2023,Nigeria,Presidential,13012,post,02/02/2023,02/02/2023,-23,karya ne! inec ba ta kara wa’adin rajistar zabe a intanet ba,https://dubawa.org/karya-ne-inec-ba-ta-kara-waadin-rajistar-zabe-a-intanet-ba/,3137|2451,window,2,title:inec
2023,25/02/2023,Nigeria,Presidential,13009,post,02/02/2023,02/02/2023,-23,da gaske ne! mawaka za su yi wasa a dandalin eagle square dan fadakar da jama’a kan rajistan zabe da pvc,https://dubawa.org/da-gaske-ne-mawaka-za-su-yi-wasa-a-dandalin-eagle-square-dan-fadakar-da-jamaa-su-yi-rajistan-zabe-dan-samun-pvc/,3137|2451,window,1,body:inec
2023,25/02/2023,Nigeria,Presidential,12998,post,02/02/2023,02/02/2023,-23,false: “only 16% of sierra leoneans had access to electricity in 2018”,https://dubawa.org/false-only-16-of-sierra-leoneans-had-access-to-electricity-in-2018/,1571|1268,window,1,election:election|candidate|parliament
2023,25/02/2023,Nigeria,Presidential,12976,post,31/01/2023,31/01/2023,-25,explainer: honouring solo sandeng’s sacrifice,https://dubawa.org/explainer-honouring-solo-sandengs-sacrifice/,1572|16|2815,window,1,election:election|presidential
2023,25/02/2023,Nigeria,Presidential,13939,post,31/01/2023,09/03/2023,-25,what you need to know about diphtheria,https://dubawa.org/what-you-need-to-know-about-diphtheria/,1572|121|1574,window,1,body:nigeria
2023,25/02/2023,Nigeria,Presidential,12973,post,31/01/2023,31/01/2023,-25,"contrary to twitter user s claim, nigerian universities have produced maize seeds for commercial purposes",https://dubawa.org/contrary-to-twitter-users-claim-nigerian-universities-have-produced-maize-seeds-for-commercial-purposes/,120|1571,window,2,title:nigeria
